State,Latitudes,Longitudes
Maharashtra,19.7514798,75.7138884
Andhra Pradesh,15.9128998,79.7399875
Karnataka,15.3172775,75.7138884
Tamil Nadu,11.1271225,78.6568942
Uttar Pradesh,26.8467088,80.9461592
Delhi,28.7040592,77.1024902
Kerala,10.8505159,76.2710833
West Bengal,22.9867569,87.8549755
Odisha,20.9516658,85.0985236
Telangana,18.1124372,79.0192997
Bihar,25.0960742,85.3131194
Assam,26.2006043,92.9375739
Rajasthan,27.0238036,74.2179326
Gujarat,22.258652,71.1923805
Madhya Pradesh,22.9734229,78.6568942
Chhattisgarh,21.2786567,81.8661442
Haryana,29.0587757,76.085601
Punjab,31.1471305,75.3412179
Jharkhand,23.6101808,85.2799354
Jammu and Kashmir,33.778175,76.5761714
Uttarakhand,30.066753,79.0192997
Goa,15.2993265,74.123996
Puducherry,11.9415915,79.8083133
Tripura,23.9408482,91.9881527
Himachal Pradesh,31.1048294,77.1733901
Manipur,24.6637173,93.9062688
Chandigarh,30.7333148,76.7794179
Arunachal Pradesh,28.2179994,94.7277528
Meghalaya,25.4670308,91.366216
Nagaland,26.1584354,94.5624426
Ladakh,34.2996176,78.2931706
Andaman and Nicobar Islands,11.7400867,92.6586401
Sikkim,27.5329718,88.5122178
Dadra and Nagar Haveli and Daman and Diu,20.1808672,73.0169135
Mizoram,23.164543,92.9375739
Lakshadweep,10.3280265,72.7846336
